klascode,tekst
5APDA,
6APDA,
5ASWW,
5AUTO,"(1) STEM: Wiskunde, aardrijkskunde en natuurwetenschappen
(2) MTC: Nederlands, burgerschap, geschiedenis, economie en artistieke expressie"
6AUTO,"(1) STEM: Wiskunde, aardrijkskunde en natuurwetenschappen
(2) MTC: Nederlands, burgerschap, geschiedenis, economie en artistieke expressie"
5BZO,"(1) STEM: Wiskunde, aardrijkskunde en natuurwetenschappen
(2) MTC: Nederlands, burgerschap, geschiedenis, economie en artistieke expressie"
6BZO,"(1) STEM: Wiskunde, aardrijkskunde en natuurwetenschappen
(2) MTC: Nederlands, burgerschap, geschiedenis, economie en artistieke expressie"
3BO,
4BO,
5BO,
6BO,
3BW,
4BW,
5BIN,"(1) STEM: Wiskunde, aardrijkskunde en natuurwetenschappen
(2) MTC: Nederlands, burgerschap, geschiedenis, economie en artistieke expressie"
6BIN,"(1) STEM: Wiskunde, aardrijkskunde en natuurwetenschappen
(2) MTC: Nederlands, burgerschap, geschiedenis, economie en artistieke expressie"
3ELEK,"(1) STEM: Wiskunde, aardrijkskunde en natuurwetenschappen
(2) MTC: Nederlands, burgerschap, geschiedenis, economie en artistieke expressie"
4ELEK,"(1) STEM: Wiskunde, aardrijkskunde en natuurwetenschappen
(2) MTC: Nederlands, burgerschap, geschiedenis, economie en artistieke expressie"
5ELINS,"(1) STEM: Wiskunde, aardrijkskunde en natuurwetenschappen
(2) MTC: Nederlands, burgerschap, geschiedenis, economie en artistieke expressie"
6ELINS,"(1) STEM: Wiskunde, aardrijkskunde en natuurwetenschappen
(2) MTC: Nederlands, burgerschap, geschiedenis, economie en artistieke expressie"
5EMT,"(1) Wiskunde, aardrijkskunde en natuurwetenschappen
(2) Nederlands, burgerschap, geschiedenis en artistieke expressie"
6EMT,"(1) Wiskunde, aardrijkskunde en natuurwetenschappen
(2) Nederlands, burgerschap, geschiedenis en artistieke expressie"
3GRATECH,"(1) Wiskunde, aardrijkskunde en natuurwetenschappen
(2) Nederlands, burgerschap, geschiedenis en artistieke expressie"
4GRATECH,"(1) Wiskunde, aardrijkskunde en natuurwetenschappen
(2) Nederlands, burgerschap, geschiedenis en artistieke expressie"
5GRAFI,"(1) Wiskunde, aardrijkskunde en natuurwetenschappen
(2) Nederlands, burgerschap, geschiedenis en artistieke expressie"
6GRAFI,"(1) Wiskunde, aardrijkskunde en natuurwetenschappen
(2) Nederlands, burgerschap, geschiedenis en artistieke expressie"
3HSZ,"(1) STEM: Wiskunde, natuurwetenschappen, aardrijkskunde en toegepaste informatica
(2) MTC: Nederlands, burgerschap, geschiedenis, economie en artistieke expressie"
4HSZ,"(1) STEM: Wiskunde, natuurwetenschappen, aardrijkskunde en toegepaste informatica
(2) MTC: Nederlands, burgerschap, geschiedenis, economie en artistieke expressie"
